timestamp,domains_requested,domains_ready,domains_stale,domains_missing,overall_freshness,dom_klines,dom_technical_indicators,dom_feature_standardization,dom_cross_asset,dom_portfolio_risk,dom_macro_context,dom_market_breadth,dom_asset_readiness,dom_ai_market_context,dom_exchange_comparison,dom_band_readiness
2025-07-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2025-08-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2025-09-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2025-10-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2025-11-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2025-12-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2026-01-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2026-02-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2026-03-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2026-04-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2026-05-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2026-06-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2026-07-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
2026-08-01T00:00:00,11,1,0,10,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,ready
