logic_module
ai_market_context
alpha_decay
anomaly_detection
asset_readiness
contagion_risk
cross_asset_analysis
cross_venue_arbitrage
defi_stress
depth_regime
event_probability
exchange_comparison
feature_standardization
flow_decomposition
funding_rate_model
holder_behavior_analysis
liquidation_cascade
liquidity_analysis
liquidity_regime
logic_pipeline
macro_context
market_breadth
market_sentiment_composite
market_structure
miner_pressure
narrative_regime
news_sentiment
onchain_lead_lag
pipeline_latency
portfolio_risk
regime_detection
retail_fomo_index
sentiment_signal
smart_money_conviction
stablecoin_pulse
technical_indicators
temporal_pattern
time_slice
unlock_impact
volatility_forecast
