slice,n,share,mech_CE,mom_CE,dCE,mech_Sharpe,mech_act_rate
Open (WMI≥0.05 / band-thick),1224,0.612,0.061,-0.254,0.315,0.631,0.918
Full OOS counterfactual open-follower (act iff WMI≥0.05),2000,1.0,-0.27,-0.202,-0.068,-0.161,0.562
