date,asset,ret
2017-01-02,BTC,0.02346429019261209
2017-01-03,BTC,0.02161973655034255
2017-01-04,BTC,0.10623277348965399
2017-01-05,BTC,-0.12240954853233998
2017-01-06,BTC,-0.10971108130965934
2017-01-07,BTC,0.00707606540293404
2017-01-08,BTC,0.002876948852891692
2017-01-09,BTC,-0.009186765912764683
2017-01-10,BTC,0.005373131059129843
2017-01-11,BTC,-0.14313649953773722
2017-01-12,BTC,0.03481417032449219
2017-01-13,BTC,0.023793757204392474
2017-01-14,BTC,-0.00676229323013644
2017-01-15,BTC,0.004137263848341455
2017-01-16,BTC,0.011847221898321436
2017-01-17,BTC,0.09188318458808964
2017-01-18,BTC,-0.02348178796282996
2017-01-19,BTC,0.0140477831009016
2017-01-20,BTC,-0.004501299759979593
2017-01-21,BTC,0.029901925149750097
2017-01-22,BTC,0.0031286684516584895
2017-01-23,BTC,-0.0039591832046829145
2017-01-24,BTC,-0.030754226298042142
2017-01-25,BTC,0.00991946824867651
2017-01-26,BTC,0.01779618308042097
2017-01-27,BTC,0.0023583636501629535
2017-01-28,BTC,0.002000572824646607
2017-01-29,BTC,-0.002272219875171899
2017-01-30,BTC,0.0009636228875071762
2017-01-31,BTC,0.05434808053482265
2017-02-01,BTC,0.019187899075688852
2017-02-02,BTC,0.02302977514468041
2017-02-03,BTC,0.01789884028979083
2017-02-04,BTC,0.012612742670015331
2017-02-05,BTC,-0.014919990631405144
2017-02-06,BTC,0.010522377161797936
2017-02-07,BTC,0.022347397414905545
2017-02-08,BTC,0.0016205500001782447
2017-02-09,BTC,-0.06461188271135343
2017-02-10,BTC,-0.005741232905460025
2017-02-11,BTC,0.015956726683781453
2017-02-12,BTC,-0.005245638777002459
2017-02-13,BTC,-0.008546000380438512
2017-02-14,BTC,0.01403933871158447
2017-02-15,BTC,0.0029167216279784025
2017-02-16,BTC,0.019811769290158265
2017-02-17,BTC,0.01826872673993929
2017-02-18,BTC,0.007847452532812271
2017-02-19,BTC,-0.0062119919530519985
2017-02-20,BTC,0.030643100290290715
2017-02-21,BTC,0.03270437322740438
2017-02-22,BTC,0.0019186698506590272
2017-02-23,BTC,0.04410083036306922
2017-02-24,BTC,0.005965512875911516
2017-02-25,BTC,-0.025424380176076733
2017-02-26,BTC,0.01867392816288249
2017-02-27,BTC,0.012675952755057507
2017-02-28,BTC,0.0
2017-03-01,BTC,0.03604331495955959
2017-03-02,BTC,0.023321071382924385
2017-03-03,BTC,0.019168496080413044
2017-03-04,BTC,-0.015560879671428163
2017-03-05,BTC,0.00953668523307627
2017-03-06,BTC,0.004506251151827012
2017-03-07,BTC,-0.03872466762564919
2017-03-08,BTC,-0.06010431756597667
2017-03-09,BTC,0.033469556725543415
2017-03-10,BTC,-0.06038756751926588
