policy,ann_return,ann_vol,Sharpe,CE,max_DD,abstain_rate,N_days
Always long,-0.8164,0.5836,-1.399,-1.1568,-0.4661,0.0,200
Momentum always,0.0506,0.5009,0.101,-0.2019,-0.4997,0.0,200
Thick ungated,0.3846,0.5012,0.767,0.132,-0.4378,0.075,200
Simple outage rule,-0.0712,0.4432,-0.161,-0.2699,-0.4378,0.438,200
Simple cascade rule,0.3846,0.5012,0.767,0.132,-0.4378,0.075,200
WMI threshold (0.2),0.0,0.0,0.0,0.0,0.0,1.0,200
ACWMI (IS-frozen),0.3246,0.4967,0.654,0.0764,-0.4378,0.127,200
